full GO term,general GO term
ribosomal subunit export from nucleus,other
RNA splicing, via transesterification reactions,RNA processing or splicing
regulation of neurotransmitter levels,other
action potential,action potential
ameboidal-type cell migration,other
macrophage activation involved in immune response,other
system process,other
DNA unwinding involved in DNA replication,DNA regulation and repair
DNA repair,DNA regulation and repair
RNA processing,RNA processing or splicing
mRNA processing,RNA processing or splicing
protein folding,protein folding or localization
cellular amino acid metabolic process,other
unsaturated fatty acid biosynthetic process,other
potassium ion transport,ion and amino acid transport
sodium ion transport,ion and amino acid transport
divalent inorganic cation transport,ion and amino acid transport
mitochondrial transport,ion and amino acid transport
amino acid transport,ion and amino acid transport
divalent inorganic cation homeostasis,ion and cellular homeostasis
metal ion homeostasis,ion and cellular homeostasis
intracellular protein transport,protein folding or localization
endoplasmic reticulum to Golgi vesicle-mediated transport,ion and amino acid transport
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum,ion and amino acid transport
muscle system process,other
response to topologically incorrect protein,protein folding or localization
regulation of nuclear division,other
cell communication,other
cell surface receptor signaling pathway,signaling pathways
enzyme linked receptor protein signaling pathway,signaling pathways
transmembrane receptor protein tyrosine kinase signaling pathway,signaling pathways
G protein-coupled receptor signaling pathway,signaling pathways
cAMP-mediated signaling,signaling pathways
regulation of cytosolic calcium ion concentration,other
signaling,signaling pathways
trans-synaptic signaling,signaling pathways
digestion,other
sensory perception,other
sensory perception of mechanical stimulus,response to stimulus
locomotory behavior,other
retrograde axonal transport,ion and amino acid transport
RNA splicing,RNA processing or splicing
fibroblast growth factor receptor signaling pathway,signaling pathways
response to pH,other
detection of abiotic stimulus,response to stimulus
response to mechanical stimulus,response to stimulus
regulation of hormone levels,other
monovalent inorganic cation transport,ion and amino acid transport
inorganic anion transport,ion and amino acid transport
neutral amino acid transport,ion and amino acid transport
organic acid transport,ion and amino acid transport
RNA metabolic process,RNA processing or splicing
mRNA metabolic process,RNA processing or splicing
locomotion,other
neuronal action potential,action potential
organic acid metabolic process,other
second-messenger-mediated signaling,signaling pathways
cyclic-nucleotide-mediated signaling,signaling pathways
cation transport,ion and amino acid transport
monovalent inorganic cation homeostasis,ion and cellular homeostasis
protein exit from endoplasmic reticulum,protein folding or localization
mitochondrial translation,other
regulation of DNA-templated transcription, elongation,DNA regulation and repair
positive regulation of DNA-templated transcription, elongation,DNA regulation and repair
positive regulation of transcription elongation from RNA polymerase II promoter,RNA processing or splicing
protein localization to organelle,protein folding or localization
cellular response to stress,other
transmembrane transport,ion and amino acid transport
ncRNA processing,RNA processing or splicing
cellular protein-containing complex assembly,protein folding or localization
ncRNA metabolic process,RNA processing or splicing
regulation of transmembrane transport,ion and amino acid transport
fatty-acyl-CoA metabolic process,other
fatty-acyl-CoA biosynthetic process,other
intracellular signal transduction,signaling pathways
sodium ion transmembrane transport,ion and amino acid transport
macrophage activation,other
regulation of membrane potential,action potential
homeostatic process,ion and cellular homeostasis
small molecule catabolic process,catabolism
intermediate filament cytoskeleton organization,other
mRNA cis splicing, via spliceosome,RNA processing or splicing
cell redox homeostasis,ion and cellular homeostasis
organic acid catabolic process,catabolism
regulation of small GTPase mediated signal transduction,signaling pathways
regulation of hormone secretion,regulation of secretion
chemical homeostasis,ion and cellular homeostasis
regulation of peptide secretion,regulation of secretion
regulation of peptide hormone secretion,regulation of secretion
nervous system process,other
detection of stimulus involved in sensory perception,response to stimulus
detection of mechanical stimulus,response to stimulus
regulation of transport,ion and amino acid transport
positive regulation of locomotion,other
detection of stimulus,response to stimulus
centrosome localization,other
lipid homeostasis,ion and cellular homeostasis
chaperone-mediated protein folding,protein folding or localization
protein-containing complex subunit organization,protein folding or localization
cellular response to inorganic substance,other
acyl-CoA biosynthetic process,other
protein localization to mitochondrion,protein folding or localization
membrane depolarization during action potential,action potential
inorganic anion transmembrane transport,ion and amino acid transport
inorganic ion transmembrane transport,ion and amino acid transport
export across plasma membrane,other
chloride transmembrane transport,ion and amino acid transport
regulation of secretion,regulation of secretion
regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis,other
regulation of cation transmembrane transport,ion and amino acid transport
